35;2020-11-25;Rolls-Royce Ghost I;rolls_royce;ghost;6.6 л / 570 л.с. / Бензин;автомат;задний;синий;2011;92 700 км;6 600 000 ₽
36;2020-11-25;Mercedes-Benz G-Класс AMG  I (W463) Рестайлинг 2 63 AMG;mercedes;g_klasse_amg;5.5 л / 544 л.с. / Бензин;автомат;полный;коричневый;2013;82 333 км;4 055 000 ₽
37;2020-11-25;Volvo XC70 II;volvo;xc70;2.0 л / 163 л.с. / Дизель;автомат;передний;чёрный;2013;96 000 км;1 090 000 ₽
38;2020-11-25;BMW X5  II (E70) 3.0si;bmw;x5;3.0 л / 264 л.с. / Бензин;автомат;полный;серый;2007;218 000 км;650 000 ₽
39;2020-11-25;BMW 5 серии  VII (G30/G31) 520i;bmw;5er;2.0 л / 184 л.с. / Бензин;автомат;задний;белый;2017;67 000 км;1 999 000 ₽
40;2020-11-25;Haval H6;haval;h6;2.0 л / 150 л.с. / Дизель;механика;полный;чёрный;2017;71 987 км;967 000 ₽
41;2020-11-25;LADA (ВАЗ) Largus I Cross;vaz;largus;1.6 л / 106 л.с. / Бензин;механика;передний;синий;2020;1 км;950 000 ₽
42;2020-11-25;Geely Atlas I;geely;atlas;2.4 л / 149 л.с. / Бензин;автомат;передний;чёрный;2018;20 881 км;1 240 000 ₽
43;2020-11-25;Chevrolet Camaro VI Рестайлинг;chevrolet;camaro;2.0 л / 238 л.с. / Бензин;автомат;задний;серый;2019;5 122 км;2 740 000 ₽
44;2020-11-25;Mitsubishi Pajero IV;mitsubishi;pajero;3.2 л / 190 л.с. / Дизель;автомат;полный;белый;2008;283 436 км;810 000 ₽
45;2020-11-25;Volkswagen Passat B8;volkswagen;passat;1.4 л / 150 л.с. / Бензин;робот;передний;белый;2015;88 212 км;690 000 ₽
46;2020-11-25;Nissan X-Trail III;nissan;x_trail;2.0 л / 144 л.с. / Бензин;вариатор;полный;зелёный;2018;32 333 км;1 299 000 ₽
47;2020-11-25;Nissan NP300;nissan;np300;2.5 л / 133 л.с. / Дизель;механика;полный;серебристый;2013;90 000 км;750 000 ₽
